id,source,target,score,accession,platformType,platform,pathway,cells,treatment,dose,effect,hours,sign,targets,level,mean_ligand_score
HGF@Condition:prostate adenocarcinoma cell line PC3M&Duration:32h@GSE71404.MicroArray.GPL570,HGF,HGF,0.6398866159101295,GSE71404,MicroArray,GPL570,NA,prostate adenocarcinoma cell line PC3M,HGF,NA,activating,32h,1,HGF,3,0.9193350795161749
HGF@Condition:prostate adenocarcinoma cell line PC3M&Duration:8h@GSE71404.MicroArray.GPL570,HGF,HGF,1.401858981889678,GSE71404,MicroArray,GPL570,NA,prostate adenocarcinoma cell line PC3M,HGF,NA,activating,8h,1,HGF,3,0.9193350795161749
FGF23@Condition:LNCaP@GSE62192.MicroArray.GPL4133,FGF23,FGF23,0.9070555875974348,GSE62192,MicroArray,GPL4133,NA,LNCaP,FGF23,NA,activating,NA,1,FGF23,2,0.9070555875974348
PDGFD@Condition:ILC1@GSE107043.MicroArray.HuGene-1_0-st-v1,PDGFD,PDGFD,1.1696200499239038,GSE107043,MicroArray,HuGene-1_0-st-v1,NA,ILC1,PDGFD,NA,activating,NA,1,PDGFD,3,0.8294166333987399
PDGFD@Condition:primary NK cells@GSE107047.RNASeq.SRP125179_GRCh38,PDGFD,PDGFD,0.48921321687357605,GSE107047,RNASeq,SRP125179_GRCh38,NA,primary NK cells,PDGFD,NA,activating,NA,1,PDGFD,3,0.8294166333987399
FGF19@Condition:LNCaP@GSE62192.MicroArray.GPL4133,FGF19,FGF19,0.6053015609797682,GSE62192,MicroArray,GPL4133,NA,LNCaP,FGF19,NA,activating,NA,1,FGF19,2,0.6053015609797682
PDGFC@Condition:mammary fibroblast.CAF2&Duration:48h@GSE108835.MicroArray.HuGene-2_0-st,PDGFC,PDGFC,-0.3723952909959915,GSE108835,MicroArray,HuGene-2_0-st,NA,mammary fibroblast.CAF2,PDGFC,NA,activating,48h,1,PDGFC,3,0.5547735107919496
PDGFC@Condition:mammary fibroblast.CAF2&Duration:6h@GSE108835.MicroArray.HuGene-2_0-st,PDGFC,PDGFC,1.4819423125798907,GSE108835,MicroArray,HuGene-2_0-st,NA,mammary fibroblast.CAF2,PDGFC,NA,activating,6h,1,PDGFC,3,0.5547735107919496
LTA@Condition:Whole Blood.healthy adult&Duration:6h@GSE103500.MicroArray.GPL10558,LTA,LTA,0.44935059247898695,GSE103500,MicroArray,GPL10558,NA,Whole Blood.healthy adult,LTA,NA,activating,6h,1,LTA,3,0.44935059247898695
IL11@Condition:Cardiac fibroblasts&Duration:24h@GSE96975.RNASeq.SRP102374_GRCh38,IL11,IL11,3.2465598782142675,GSE96975,RNASeq,SRP102374_GRCh38,NA,Cardiac fibroblasts,IL11,NA,activating,24h,1,IL11,3,0.365518618210563
IL11@Condition:hESC line H1@GSE51159.MicroArray.GPL6883,IL11,IL11,-2.5155226417931416,GSE51159,MicroArray,GPL6883,NA,hESC line H1,IL11,NA,activating,NA,1,IL11,3,0.365518618210563
CXCL12@Condition:BCWM@GSE83150.MicroArray.HuGene-2_0-st,CXCL12,CXCL12,0.6445304904952253,GSE83150,MicroArray,HuGene-2_0-st,NA,BCWM,CXCL12,NA,activating,NA,1,CXCL12,3,0.3193291449517122
CXCL12@Condition:CD14+ Peripheral Blood Monocytes@GSE24496.MicroArray.GPL11010,CXCL12,CXCL12,2.6149695687512162,GSE24496,MicroArray,GPL11010,NA,CD14+ Peripheral Blood Monocytes,CXCL12,NA,activating,NA,1,CXCL12,3,0.3193291449517122
CXCL12@Condition:CORD BLOOD CELLS@GSE20891.MicroArray.HG-U133_Plus_2,CXCL12,CXCL12,-0.2927509104866128,GSE20891,MicroArray,HG-U133_Plus_2,NA,CORD BLOOD CELLS,CXCL12,NA,activating,NA,1,CXCL12,3,0.3193291449517122
CXCL12@Condition:Ex Vivo expanded HSPC@GSE37334.MicroArray.GPL13252,CXCL12,CXCL12,-0.8286504922107994,GSE37334,MicroArray,GPL13252,NA,Ex Vivo expanded HSPC,CXCL12,NA,activating,NA,1,CXCL12,3,0.3193291449517122
CXCL12@Condition:MDA-MB-231@GSE15893.MicroArray.HG-U133_Plus_2,CXCL12,CXCL12,-0.5414529317904679,GSE15893,MicroArray,HG-U133_Plus_2,NA,MDA-MB-231,CXCL12,NA,activating,NA,1,CXCL12,3,0.3193291449517122
IL4@Condition:CD4+ T cells&Duration:0.5h@GSE17974.MicroArray.HG-U133_Plus_2,IL4,IL4,-0.37506174173304,GSE17974,MicroArray,HG-U133_Plus_2,NA,CD4+ T cells,IL4,NA,activating,0.5h,1,IL4,2,0.27187981995085436
IL4@Condition:CD4+ T cells&Duration:12h@GSE17974.MicroArray.HG-U133_Plus_2,IL4,IL4,0.14309693203237625,GSE17974,MicroArray,HG-U133_Plus_2,NA,CD4+ T cells,IL4,NA,activating,12h,1,IL4,2,0.27187981995085436
IL4@Condition:CD4+ T cells&Duration:1h@GSE17974.MicroArray.HG-U133_Plus_2,IL4,IL4,-0.29015914180504465,GSE17974,MicroArray,HG-U133_Plus_2,NA,CD4+ T cells,IL4,NA,activating,1h,1,IL4,2,0.27187981995085436
IL4@Condition:CD4+ T cells&Duration:24h@GSE17974.MicroArray.HG-U133_Plus_2,IL4,IL4,0.00401178640910269,GSE17974,MicroArray,HG-U133_Plus_2,NA,CD4+ T cells,IL4,NA,activating,24h,1,IL4,2,0.27187981995085436
IL4@Condition:CD4+ T cells&Duration:2h@GSE17974.MicroArray.HG-U133_Plus_2,IL4,IL4,-1.4818922892436628,GSE17974,MicroArray,HG-U133_Plus_2,NA,CD4+ T cells,IL4,NA,activating,2h,1,IL4,2,0.27187981995085436
IL4@Condition:CD4+ T cells&Duration:48h@GSE17974.MicroArray.HG-U133_Plus_2,IL4,IL4,-0.7692982167903424,GSE17974,MicroArray,HG-U133_Plus_2,NA,CD4+ T cells,IL4,NA,activating,48h,1,IL4,2,0.27187981995085436
IL4@Condition:CD4+ T cells&Duration:4h@GSE17974.MicroArray.HG-U133_Plus_2,IL4,IL4,-0.027190278268508877,GSE17974,MicroArray,HG-U133_Plus_2,NA,CD4+ T cells,IL4,NA,activating,4h,1,IL4,2,0.27187981995085436
IL4@Condition:CD4+ T cells&Duration:6h@GSE17974.MicroArray.HG-U133_Plus_2,IL4,IL4,-0.14234733874091962,GSE17974,MicroArray,HG-U133_Plus_2,NA,CD4+ T cells,IL4,NA,activating,6h,1,IL4,2,0.27187981995085436
IL4@Condition:CD4+ T cells&Duration:72h@GSE17974.MicroArray.HG-U133_Plus_2,IL4,IL4,-0.8382162023688468,GSE17974,MicroArray,HG-U133_Plus_2,NA,CD4+ T cells,IL4,NA,activating,72h,1,IL4,2,0.27187981995085436
IL4@Condition:CD4+ Th cell&Duration:12h@GSE32959.MicroArray.HG-U133_Plus_2,IL4,IL4,0.2802481613496519,GSE32959,MicroArray,HG-U133_Plus_2,NA,CD4+ Th cell,IL4,NA,activating,12h,1,IL4,2,0.27187981995085436
IL4@Condition:CD4+ Th cell&Duration:24h@GSE32959.MicroArray.HG-U133_Plus_2,IL4,IL4,0.17620244027863258,GSE32959,MicroArray,HG-U133_Plus_2,NA,CD4+ Th cell,IL4,NA,activating,24h,1,IL4,2,0.27187981995085436
IL4@Condition:CD4+ Th cell&Duration:48h@GSE32959.MicroArray.HG-U133_Plus_2,IL4,IL4,-0.8511386200462815,GSE32959,MicroArray,HG-U133_Plus_2,NA,CD4+ Th cell,IL4,NA,activating,48h,1,IL4,2,0.27187981995085436
IL4@Condition:CD4+ Th cell&Duration:72h@GSE32959.MicroArray.HG-U133_Plus_2,IL4,IL4,-0.8147461404237363,GSE32959,MicroArray,HG-U133_Plus_2,NA,CD4+ Th cell,IL4,NA,activating,72h,1,IL4,2,0.27187981995085436
IL4@Condition:Fibroblast.IMR90&Duration:24h@GSE47542.MicroArray.GPL6480,IL4,IL4,-0.06493861021317146,GSE47542,MicroArray,GPL6480,NA,Fibroblast.IMR90,IL4,NA,activating,24h,1,IL4,2,0.27187981995085436
IL4@Condition:GMCSF Macrophage&Duration:2d@GSE61298.MicroArray.PrimeView,IL4,IL4,1.2534722131149014,GSE61298,MicroArray,PrimeView,NA,GMCSF Macrophage,IL4,NA,activating,2d,1,IL4,2,0.27187981995085436
IL4@Condition:HNEC@GSE19182.MicroArray.HuGene-1_0-st-v1,IL4,IL4,0.18923961335586598,GSE19182,MicroArray,HuGene-1_0-st-v1,NA,HNEC,IL4,NA,activating,NA,1,IL4,2,0.27187981995085436
IL4@Condition:human epidermal keratinocytes&Duration:24h@GSE53751.MicroArray.HG-U133_Plus_2,IL4,IL4,0.5623260988411608,GSE53751,MicroArray,HG-U133_Plus_2,NA,human epidermal keratinocytes,IL4,NA,activating,24h,1,IL4,2,0.27187981995085436
IL4@Condition:Macrophage@GSE123603.RNASeq.SRP173264_GRCh38,IL4,IL4,1.2548365837158377,GSE123603,RNASeq,SRP173264_GRCh38,NA,Macrophage,IL4,NA,activating,NA,1,IL4,2,0.27187981995085436
IL4@Condition:Macrophage@GSE49240.MicroArray.GPL10558,IL4,IL4,0.30743351401495067,GSE49240,MicroArray,GPL10558,NA,Macrophage,IL4,NA,activating,NA,1,IL4,2,0.27187981995085436
IL4@Condition:Macrophage@GSE5099.MicroArray.HG-U133A,IL4,IL4,1.4871742125683807,GSE5099,MicroArray,HG-U133A,NA,Macrophage,IL4,NA,activating,NA,1,IL4,2,0.27187981995085436
IL4@Condition:Macrophage&Duration:12h@GSE57614.MicroArray.GPL6480,IL4,IL4,0.058707372473553274,GSE57614,MicroArray,GPL6480,NA,Macrophage,IL4,NA,activating,12h,1,IL4,2,0.27187981995085436
IL4@Condition:Macrophage&Duration:18h@GSE36537.MicroArray.GPL6480,IL4,IL4,-0.06163917049760601,GSE36537,MicroArray,GPL6480,NA,Macrophage,IL4,NA,activating,18h,1,IL4,2,0.27187981995085436
IL4@Condition:Macrophage&Duration:24 h@GSE85346.MicroArray.GPL13497,IL4,IL4,0.6527777389798627,GSE85346,MicroArray,GPL13497,NA,Macrophage,IL4,NA,activating,24 h,1,IL4,2,0.27187981995085436
IL4@Condition:Macrophage&Duration:24h@GSE47538.MicroArray.GPL13497,IL4,IL4,1.6569726787011378,GSE47538,MicroArray,GPL13497,NA,Macrophage,IL4,NA,activating,24h,1,IL4,2,0.27187981995085436
IL4@Condition:Macrophage&Duration:24h@GSE57614.MicroArray.GPL6480,IL4,IL4,-0.35193282003478216,GSE57614,MicroArray,GPL6480,NA,Macrophage,IL4,NA,activating,24h,1,IL4,2,0.27187981995085436
IL4@Condition:Macrophage&Duration:6h@GSE57614.MicroArray.GPL6480,IL4,IL4,0.5792480098700734,GSE57614,MicroArray,GPL6480,NA,Macrophage,IL4,NA,activating,6h,1,IL4,2,0.27187981995085436
IL4@Condition:MCSF Macrophage&Duration:2d@GSE61298.MicroArray.PrimeView,IL4,IL4,1.1466148652579289,GSE61298,MicroArray,PrimeView,NA,MCSF Macrophage,IL4,NA,activating,2d,1,IL4,2,0.27187981995085436
IL4@Condition:monocyte derived macrophage@GSE120084.RNASeq.SRP161956_GRCh38,IL4,IL4,0.2336511820820134,GSE120084,RNASeq,SRP161956_GRCh38,NA,monocyte derived macrophage,IL4,NA,activating,NA,1,IL4,2,0.27187981995085436
IL4@Condition:monocyte-derived dendritic cell@E-MEXP-2000.MicroArray.HG-U133A,IL4,IL4,-0.14061150794351335,E-MEXP-2000,MicroArray,HG-U133A,NA,monocyte-derived dendritic cell,IL4,NA,activating,NA,1,IL4,2,0.27187981995085436
IL4@Condition:Monocyte&Duration:18h@GSE36537.MicroArray.GPL6480,IL4,IL4,-0.17176412448420594,GSE36537,MicroArray,GPL6480,NA,Monocyte,IL4,NA,activating,18h,1,IL4,2,0.27187981995085436
IL4@Condition:Monocyte&Duration:24h@GSE47538.MicroArray.GPL13497,IL4,IL4,0.011302790063887147,GSE47538,MicroArray,GPL13497,NA,Monocyte,IL4,NA,activating,24h,1,IL4,2,0.27187981995085436
IL4@Condition:Monocyte&Duration:6h@GSE36537.MicroArray.GPL6480,IL4,IL4,1.8050175750173298,GSE36537,MicroArray,GPL6480,NA,Monocyte,IL4,NA,activating,6h,1,IL4,2,0.27187981995085436
IL4@Condition:Monocyte&Duration:6h@GSE47538.MicroArray.GPL13497,IL4,IL4,0.9357039864857298,GSE47538,MicroArray,GPL13497,NA,Monocyte,IL4,NA,activating,6h,1,IL4,2,0.27187981995085436
IL4@Condition:Monocytes@GSE83957.MicroArray.GPL10558,IL4,IL4,0.49687897670247,GSE83957,MicroArray,GPL10558,NA,Monocytes,IL4,NA,activating,NA,1,IL4,2,0.27187981995085436
IL4@Condition:Normal lung fibroblast&Duration:24h@GSE47538.MicroArray.GPL13497,IL4,IL4,-0.21861053403272532,GSE47538,MicroArray,GPL13497,NA,Normal lung fibroblast,IL4,NA,activating,24h,1,IL4,2,0.27187981995085436
IL4@Condition:primary bronchial epithelial cells&Duration:12h@GSE78914.MicroArray.HG-U133_Plus_2,IL4,IL4,0.9618124893964263,GSE78914,MicroArray,HG-U133_Plus_2,NA,primary bronchial epithelial cells,IL4,NA,activating,12h,1,IL4,2,0.27187981995085436
IL4@Condition:primary bronchial epithelial cells&Duration:24h@GSE78914.MicroArray.HG-U133_Plus_2,IL4,IL4,0.9264205409950388,GSE78914,MicroArray,HG-U133_Plus_2,NA,primary bronchial epithelial cells,IL4,NA,activating,24h,1,IL4,2,0.27187981995085436
IL4@Condition:primary bronchial epithelial cells&Duration:6h@GSE78914.MicroArray.HG-U133_Plus_2,IL4,IL4,1.4300017995443728,GSE78914,MicroArray,HG-U133_Plus_2,NA,primary bronchial epithelial cells,IL4,NA,activating,6h,1,IL4,2,0.27187981995085436
IL4@Condition:primary bronchial epithelial cells&Duration:72h@GSE78914.MicroArray.HG-U133_Plus_2,IL4,IL4,0.6497081534590222,GSE78914,MicroArray,HG-U133_Plus_2,NA,primary bronchial epithelial cells,IL4,NA,activating,72h,1,IL4,2,0.27187981995085436
Activin A@Condition:hESC line H1@GSE21715.MicroArray.GPL10399,INHBA,INHBA,0.25728869949959937,GSE21715,MicroArray,GPL10399,NA,hESC line H1,INHBA,NA,activating,NA,1,Activin A,2,0.25728869949959937
IL13@Condition:Airway Epithelia&Duration:48h@GSE116927.RNASeq.SRP153060_GRCh38,IL13,IL13,1.4395296188339648,GSE116927,RNASeq,SRP153060_GRCh38,NA,Airway Epithelia,IL13,NA,activating,48h,1,IL13,2,0.19861304908575972
IL13@Condition:AT CC16Lu&Duration:24 h@GSE43515.MicroArray.HG-U133A_2,IL13,IL13,0.12943649668267773,GSE43515,MicroArray,HG-U133A_2,NA,AT CC16Lu,IL13,NA,activating,24 h,1,IL13,2,0.19861304908575972
IL13@Condition:AT CC16Lu&Duration:4 h@GSE43515.MicroArray.HG-U133A_2,IL13,IL13,-0.07269132278874893,GSE43515,MicroArray,HG-U133A_2,NA,AT CC16Lu,IL13,NA,activating,4 h,1,IL13,2,0.19861304908575972
IL13@Condition:AT CC16Lu&Duration:48 h@GSE43515.MicroArray.HG-U133A_2,IL13,IL13,1.1205890059760133,GSE43515,MicroArray,HG-U133A_2,NA,AT CC16Lu,IL13,NA,activating,48 h,1,IL13,2,0.19861304908575972
IL13@Condition:Blood (PBMC)&Duration:24h@GSE79027.RNASeq.SRP071332_GRCh38,IL13,IL13,0.5578117243076681,GSE79027,RNASeq,SRP071332_GRCh38,NA,Blood (PBMC),IL13,NA,activating,24h,1,IL13,2,0.19861304908575972
IL13@Condition:Epithelial&Duration:21d@GSE37693.MicroArray.GPL6947,IL13,IL13,NA,GSE37693,MicroArray,GPL6947,NA,Epithelial,IL13,NA,activating,21d,1,IL13,NA,0.19861304908575972
IL13@Condition:Fibroblast.IMR-90@GSE47527.MicroArray.GPL6480,IL13,IL13,NA,GSE47527,MicroArray,GPL6480,NA,Fibroblast.IMR-90,IL13,NA,activating,NA,1,IL13,NA,0.19861304908575972
IL13@Condition:Fibroblast.IMR90&Duration:24h@GSE47542.MicroArray.GPL6480,IL13,IL13,NA,GSE47542,MicroArray,GPL6480,NA,Fibroblast.IMR90,IL13,NA,activating,24h,1,IL13,NA,0.19861304908575972
IL13@Condition:HNEC@GSE19182.MicroArray.HuGene-1_0-st-v1,IL13,IL13,-0.20970910235984294,GSE19182,MicroArray,HuGene-1_0-st-v1,NA,HNEC,IL13,NA,activating,NA,1,IL13,2,0.19861304908575972
IL13@Condition:Human bronchial cell line A549&Duration:24h@GSE3183.MicroArray.HG-U133A,IL13,IL13,-1.503122646476259,GSE3183,MicroArray,HG-U133A,NA,Human bronchial cell line A549,IL13,NA,activating,24h,1,IL13,2,0.19861304908575972
IL13@Condition:lung fibroblast cell line@GSE56338.MicroArray.GPL10558,IL13,IL13,NA,GSE56338,MicroArray,GPL10558,NA,lung fibroblast cell line,IL13,NA,activating,NA,1,IL13,NA,0.19861304908575972
IL13@Condition:Macrophage&Duration:24h@GSE47538.MicroArray.GPL13497,IL13,IL13,NA,GSE47538,MicroArray,GPL13497,NA,Macrophage,IL13,NA,activating,24h,1,IL13,NA,0.19861304908575972
IL13@Condition:MCF10CA1a.pLKO-shSCR@GSE57677.MicroArray.HuGene-1_0-st-v1,IL13,IL13,0.1270606185106044,GSE57677,MicroArray,HuGene-1_0-st-v1,NA,MCF10CA1a.pLKO-shSCR,IL13,NA,activating,NA,1,IL13,2,0.19861304908575972
IL13@Condition:Monocyte&Duration:24h@GSE47538.MicroArray.GPL13497,IL13,IL13,NA,GSE47538,MicroArray,GPL13497,NA,Monocyte,IL13,NA,activating,24h,1,IL13,NA,0.19861304908575972
IL13@Condition:Monocyte&Duration:6h@GSE47538.MicroArray.GPL13497,IL13,IL13,NA,GSE47538,MicroArray,GPL13497,NA,Monocyte,IL13,NA,activating,6h,1,IL13,NA,0.19861304908575972
IL13@Condition:Normal lung fibroblast&Duration:24h@GSE47538.MicroArray.GPL13497,IL13,IL13,NA,GSE47538,MicroArray,GPL13497,NA,Normal lung fibroblast,IL13,NA,activating,24h,1,IL13,NA,0.19861304908575972
EPO@Condition:CD34+ progenitor cells@GSE43624.MicroArray.GPL6102,EPO,EPO,0.1422367257758908,GSE43624,MicroArray,GPL6102,NA,CD34+ progenitor cells,EPO,NA,activating,NA,1,EPO,4,0.17515839917743103
"EPO@Condition:CD44+;CD24-;EpCAM+, SUM149 Cells@GSE51433.MicroArray.GPL4133",EPO,EPO,0.2080800725789713,GSE51433,MicroArray,GPL4133,NA,"CD44+;CD24-;EpCAM+, SUM149 Cells",EPO,NA,activating,NA,1,EPO,4,0.17515839917743103
EPO@Condition:HNSCC xenograft&Duration:1h@GSE58194.MicroArray.GPL13376,EPO,EPO,NA,GSE58194,MicroArray,GPL13376,NA,HNSCC xenograft,EPO,NA,activating,1h,1,EPO,NA,0.17515839917743103
EPO@Condition:HNSCC xenograft&Duration:24h@GSE58194.MicroArray.GPL13376,EPO,EPO,NA,GSE58194,MicroArray,GPL13376,NA,HNSCC xenograft,EPO,NA,activating,24h,1,EPO,NA,0.17515839917743103
EPO@Condition:HNSCC xenograft&Duration:48h@GSE58194.MicroArray.GPL13376,EPO,EPO,NA,GSE58194,MicroArray,GPL13376,NA,HNSCC xenograft,EPO,NA,activating,48h,1,EPO,NA,0.17515839917743103
INS@Condition:endometrial carcinoma@GSE109022.MicroArray.GPL17692,INS,INS,NA,GSE109022,MicroArray,GPL17692,NA,endometrial carcinoma,INS,NA,activating,NA,1,INS,NA,-0.004690183703142012
INS@Condition:hESC&Duration:12h@GSE71949.MicroArray.HG-U133_Plus_2,INS,INS,-0.004690183703142012,GSE71949,MicroArray,HG-U133_Plus_2,NA,hESC,INS,NA,activating,12h,1,INS,2,-0.004690183703142012
TRAIL@Condition:HT29@GSE67033.MicroArray.GPL16699,TNFSF10,TNFSF10,0.1833021261072677,GSE67033,MicroArray,GPL16699,NA,HT29,TNFSF10,NA,activating,NA,1,TRAIL,4,-0.03023196241430918
TRAIL@Condition:MDA-MB-231@GSE82047.MicroArray.HuGene-1_0-st-v1,TNFSF10,TNFSF10,-0.35460060239751706,GSE82047,MicroArray,HuGene-1_0-st-v1,NA,MDA-MB-231,TNFSF10,NA,activating,NA,1,TRAIL,4,-0.03023196241430918
TRAIL@Condition:Vascular Smooth Muscle Cell.TRAIL@GSE29955.MicroArray.HG-U133A_2,TNFSF10,TNFSF10,0.08060258904732182,GSE29955,MicroArray,HG-U133A_2,NA,Vascular Smooth Muscle Cell.TRAIL,TNFSF10,NA,activating,NA,1,TRAIL,4,-0.03023196241430918
TNFA@Condition:293&Duration:24h@GSE136439.MicroArray.HT_HG-U133_Plus_PM,TNF,TNF,-0.684671631251479,GSE136439,MicroArray,HT_HG-U133_Plus_PM,NA,293,TNF,NA,activating,24h,1,TNFA,1,-0.06184175672866599
TNFA@Condition:293&Duration:4h@GSE136439.MicroArray.HT_HG-U133_Plus_PM,TNF,TNF,0.3316636665408292,GSE136439,MicroArray,HT_HG-U133_Plus_PM,NA,293,TNF,NA,activating,4h,1,TNFA,1,-0.06184175672866599
TNFA@Condition:A549 nonsmall lung cancer cell line@GSE34329.RNASeq.SRP009790_GRCh38,TNF,TNF,-0.3931017810869717,GSE34329,RNASeq,SRP009790_GRCh38,NA,A549 nonsmall lung cancer cell line,TNF,NA,activating,NA,1,TNFA,1,-0.06184175672866599
TNFA@Condition:A549@GSE32254.MicroArray.HuGene-1_0-st-v1,TNF,TNF,-1.0932065536084272,GSE32254,MicroArray,HuGene-1_0-st-v1,NA,A549,TNF,NA,activating,NA,1,TNFA,1,-0.06184175672866599
TNFA@Condition:A549&Duration:24h@GSE136439.MicroArray.HT_HG-U133_Plus_PM,TNF,TNF,-1.6157442819551255,GSE136439,MicroArray,HT_HG-U133_Plus_PM,NA,A549,TNF,NA,activating,24h,1,TNFA,1,-0.06184175672866599
TNFA@Condition:A549&Duration:4h@GSE136439.MicroArray.HT_HG-U133_Plus_PM,TNF,TNF,-0.6072140848334088,GSE136439,MicroArray,HT_HG-U133_Plus_PM,NA,A549,TNF,NA,activating,4h,1,TNFA,1,-0.06184175672866599
TNFA@Condition:airway epithelial cells differentiated from the ES line CA2@GSE59472.MicroArray.HuGene-1_0-st-v1,TNF,TNF,0.3345313682324341,GSE59472,MicroArray,HuGene-1_0-st-v1,NA,airway epithelial cells differentiated from the ES line CA2,TNF,NA,activating,NA,1,TNFA,1,-0.06184175672866599
TNFA@Condition:Bronchial Epithelial Beas-B2@GSE16650.MicroArray.HG-U133_Plus_2,TNF,TNF,0.051941853628779296,GSE16650,MicroArray,HG-U133_Plus_2,NA,Bronchial Epithelial Beas-B2,TNF,NA,activating,NA,1,TNFA,1,-0.06184175672866599
TNFA@Condition:Caco-2@GSE1474.MicroArray.GPL96,TNF,TNF,1.7667853123337873,GSE1474,MicroArray,GPL96,NA,Caco-2,TNF,NA,activating,NA,1,TNFA,1,-0.06184175672866599
TNFA@Condition:Calu-3 2B4&Duration:24h@GSE56678.MicroArray.GPL6480,TNF,TNF,-1.2065627671126908,GSE56678,MicroArray,GPL6480,NA,Calu-3 2B4,TNF,NA,activating,24h,1,TNFA,1,-0.06184175672866599
TNFA@Condition:Calu-3 2B4&Duration:6h@GSE56678.MicroArray.GPL6480,TNF,TNF,0.13390901720936024,GSE56678,MicroArray,GPL6480,NA,Calu-3 2B4,TNF,NA,activating,6h,1,TNFA,1,-0.06184175672866599
TNFA@Condition:CEM (T cell line)@GSE46599.MicroArray.GPL10558,TNF,TNF,-0.2993538551729273,GSE46599,MicroArray,GPL10558,NA,CEM (T cell line),TNF,NA,activating,NA,1,TNFA,1,-0.06184175672866599
TNFA@Condition:CEM-SS (T cell line)@GSE46599.MicroArray.GPL10558,TNF,TNF,-0.3144700046695897,GSE46599,MicroArray,GPL10558,NA,CEM-SS (T cell line),TNF,NA,activating,NA,1,TNFA,1,-0.06184175672866599
TNFA@Condition:colon adenocarcinoma cell line HT29@GSE108621.RNASeq.SRP127714_GRCh38,TNF,TNF,0.5800342015597066,GSE108621,RNASeq,SRP127714_GRCh38,NA,colon adenocarcinoma cell line HT29,TNF,NA,activating,NA,1,TNFA,1,-0.06184175672866599
TNFA@Condition:endocrine tumor cells@GSE64250.MicroArray.HuGene-1_1-st-v1,TNF,TNF,0.5130005984928134,GSE64250,MicroArray,HuGene-1_1-st-v1,NA,endocrine tumor cells,TNF,NA,activating,NA,1,TNFA,1,-0.06184175672866599
TNFA@Condition:Endothelial cells@GSE96962.RNASeq.SRP102361_GRCh38,TNF,TNF,0.2364549366971709,GSE96962,RNASeq,SRP102361_GRCh38,NA,Endothelial cells,TNF,NA,activating,NA,1,TNFA,1,-0.06184175672866599
TNFA@Condition:Endothelial@GSE6257.MicroArray.HG-U133_Plus_2,TNF,TNF,-1.3607932579098911,GSE6257,MicroArray,HG-U133_Plus_2,NA,Endothelial,TNF,NA,activating,NA,1,TNFA,1,-0.06184175672866599
TNFA@Condition:Endothelium@GSE53999.MicroArray.GPL16043,TNF,TNF,-9.424931365028849e-4,GSE53999,MicroArray,GPL16043,NA,Endothelium,TNF,NA,activating,NA,1,TNFA,1,-0.06184175672866599
TNFA@Condition:Fibroblast.IMR90&Duration:24h@GSE47542.MicroArray.GPL6480,TNF,TNF,0.0072522799498975265,GSE47542,MicroArray,GPL6480,NA,Fibroblast.IMR90,TNF,NA,activating,24h,1,TNFA,1,-0.06184175672866599
TNFA@Condition:HAEC&Duration:4h@GSE89970.RNASeq.SRP093727_GRCh38,TNF,TNF,0.3686567197014498,GSE89970,RNASeq,SRP093727_GRCh38,NA,HAEC,TNF,NA,activating,4h,1,TNFA,1,-0.06184175672866599
TNFA@Condition:HCT116@GSE28115.RNASeq.SRP006309_GRCh38,TNF,TNF,-0.16480561826553036,GSE28115,RNASeq,SRP006309_GRCh38,NA,HCT116,TNF,NA,activating,NA,1,TNFA,1,-0.06184175672866599
TNFA@Condition:HEK293 delta-RAF1:ER cells&Duration:1h@GSE97979.RNASeq.SRP104287_GRCh38,TNF,TNF,0.5571046161590871,GSE97979,RNASeq,SRP104287_GRCh38,NA,HEK293 delta-RAF1:ER cells,TNF,NA,activating,1h,1,TNFA,1,-0.06184175672866599
TNFA@Condition:HEK293 delta-RAF1:ER cells&Duration:4h@GSE97979.RNASeq.SRP104287_GRCh38,TNF,TNF,-0.46944614833077153,GSE97979,RNASeq,SRP104287_GRCh38,NA,HEK293 delta-RAF1:ER cells,TNF,NA,activating,4h,1,TNFA,1,-0.06184175672866599
TNFA@Condition:HEK293@GSE28548.MicroArray.HG-U133_Plus_2,TNF,TNF,-0.5013972503741188,GSE28548,MicroArray,HG-U133_Plus_2,NA,HEK293,TNF,NA,activating,NA,1,TNFA,1,-0.06184175672866599
TNFA@Condition:HepG2@GSE12161.MicroArray.HG-U133_Plus_2,TNF,TNF,-1.294522261318099,GSE12161,MicroArray,HG-U133_Plus_2,NA,HepG2,TNF,NA,activating,NA,1,TNFA,1,-0.06184175672866599
TNFA@Condition:HepG2&Duration:14h@GSE54254.MicroArray.HT_HG-U133_Plus_PM,TNF,TNF,-0.22065755286240538,GSE54254,MicroArray,HT_HG-U133_Plus_PM,NA,HepG2,TNF,NA,activating,14h,1,TNFA,1,-0.06184175672866599
TNFA@Condition:HepG2&Duration:72h@GSE122660.MicroArray.GPL13158,TNF,TNF,-1.2589273035394837,GSE122660,MicroArray,GPL13158,NA,HepG2,TNF,NA,activating,72h,1,TNFA,1,-0.06184175672866599
TNFA@Condition:HT-29 cells@GSE69605.MicroArray.PrimeView,TNF,TNF,0.4236970674427291,GSE69605,MicroArray,PrimeView,NA,HT-29 cells,TNF,NA,activating,NA,1,TNFA,1,-0.06184175672866599
