id,source,score,target,accession,platformType,platform,pathway,cells,treatment,dose,effect,hours,sign,targets,hours_standardized,hours_inferred,inferred_time,inferred_time_systematic,inferred_time_expanded,inferred_time_all_conditions
IL4@Condition:CD4+ T cells&Duration:72h@GSE17974.MicroArray.HG-U133_Plus_2,IL4,-1.4340064068468563,IL4,GSE17974,MicroArray,HG-U133_Plus_2,,CD4+ T cells,IL4,,activating,72h,1.0,IL4,72.0,72.0,72.0,72.0,72.0,72.0
IL4@Condition:CD4+ Th cell&Duration:12h@GSE32959.MicroArray.HG-U133_Plus_2,IL4,0.138616155558565,IL4,GSE32959,MicroArray,HG-U133_Plus_2,,CD4+ Th cell,IL4,,activating,12h,1.0,IL4,12.0,12.0,12.0,12.0,12.0,12.0
IL4@Condition:CD4+ Th cell&Duration:24h@GSE32959.MicroArray.HG-U133_Plus_2,IL4,0.0838637025037674,IL4,GSE32959,MicroArray,HG-U133_Plus_2,,CD4+ Th cell,IL4,,activating,24h,1.0,IL4,24.0,24.0,24.0,24.0,24.0,24.0
IL4@Condition:CD4+ Th cell&Duration:48h@GSE32959.MicroArray.HG-U133_Plus_2,IL4,-1.714137475418634,IL4,GSE32959,MicroArray,HG-U133_Plus_2,,CD4+ Th cell,IL4,,activating,48h,1.0,IL4,48.0,48.0,48.0,48.0,48.0,48.0
IL4@Condition:CD4+ Th cell&Duration:72h@GSE32959.MicroArray.HG-U133_Plus_2,IL4,-1.4757914242288146,IL4,GSE32959,MicroArray,HG-U133_Plus_2,,CD4+ Th cell,IL4,,activating,72h,1.0,IL4,72.0,72.0,72.0,72.0,72.0,72.0
IL4@Condition:Fibroblast.IMR90&Duration:24h@GSE47542.MicroArray.GPL6480,IL4,0.9861291677667624,IL4,GSE47542,MicroArray,GPL6480,,Fibroblast.IMR90,IL4,,activating,24h,1.0,IL4,24.0,24.0,24.0,24.0,24.0,24.0
IL4@Condition:GMCSF Macrophage&Duration:2d@GSE61298.MicroArray.PrimeView,IL4,3.410256000455499,IL4,GSE61298,MicroArray,PrimeView,,GMCSF Macrophage,IL4,,activating,2d,1.0,IL4,48.0,48.0,48.0,48.0,48.0,48.0
IL4@Condition:HNEC@GSE19182.MicroArray.HuGene-1_0-st-v1,IL4,0.7232525667398382,IL4,GSE19182,MicroArray,HuGene-1_0-st-v1,,HNEC,IL4,,activating,,1.0,IL4,,,,,,
IL4@Condition:human epidermal keratinocytes&Duration:24h@GSE53751.MicroArray.HG-U133_Plus_2,IL4,3.3550485881106566,IL4,GSE53751,MicroArray,HG-U133_Plus_2,,human epidermal keratinocytes,IL4,,activating,24h,1.0,IL4,24.0,24.0,24.0,24.0,24.0,24.0
IL4@Condition:Macrophage@GSE123603.RNASeq.SRP173264_GRCh38,IL4,6.722072111071934,IL4,GSE123603,RNASeq,SRP173264_GRCh38,,Macrophage,IL4,,activating,,1.0,IL4,,,,,,
IL4@Condition:Macrophage@GSE49240.MicroArray.GPL10558,IL4,3.852758551448186,IL4,GSE49240,MicroArray,GPL10558,,Macrophage,IL4,,activating,,1.0,IL4,,,,,,
IL4@Condition:Macrophage@GSE5099.MicroArray.HG-U133A,IL4,4.36089685679406,IL4,GSE5099,MicroArray,HG-U133A,,Macrophage,IL4,,activating,,1.0,IL4,,,,,,
IL4@Condition:Macrophage&Duration:12h@GSE57614.MicroArray.GPL6480,IL4,-0.04733848625949,IL4,GSE57614,MicroArray,GPL6480,,Macrophage,IL4,,activating,12h,1.0,IL4,12.0,12.0,12.0,12.0,12.0,12.0
IL4@Condition:Macrophage&Duration:18h@GSE36537.MicroArray.GPL6480,IL4,3.600353979729515,IL4,GSE36537,MicroArray,GPL6480,,Macrophage,IL4,,activating,18h,1.0,IL4,18.0,18.0,18.0,18.0,18.0,18.0
IL4@Condition:Macrophage&Duration:24 h@GSE85346.MicroArray.GPL13497,IL4,1.5934595429596,IL4,GSE85346,MicroArray,GPL13497,,Macrophage,IL4,,activating,24 h,1.0,IL4,24.0,24.0,24.0,24.0,24.0,24.0
IL4@Condition:Macrophage&Duration:24h@GSE47538.MicroArray.GPL13497,IL4,4.245581741408931,IL4,GSE47538,MicroArray,GPL13497,,Macrophage,IL4,,activating,24h,1.0,IL4,24.0,24.0,24.0,24.0,24.0,24.0
IL4@Condition:Macrophage&Duration:24h@GSE57614.MicroArray.GPL6480,IL4,0.0585217931651766,IL4,GSE57614,MicroArray,GPL6480,,Macrophage,IL4,,activating,24h,1.0,IL4,24.0,24.0,24.0,24.0,24.0,24.0
IL4@Condition:Macrophage&Duration:6h@GSE57614.MicroArray.GPL6480,IL4,1.0541065243803556,IL4,GSE57614,MicroArray,GPL6480,,Macrophage,IL4,,activating,6h,1.0,IL4,6.0,6.0,6.0,6.0,6.0,6.0
IL4@Condition:MCSF Macrophage&Duration:2d@GSE61298.MicroArray.PrimeView,IL4,3.8241500777883943,IL4,GSE61298,MicroArray,PrimeView,,MCSF Macrophage,IL4,,activating,2d,1.0,IL4,48.0,48.0,48.0,48.0,48.0,48.0
IL4@Condition:monocyte derived macrophage@GSE120084.RNASeq.SRP161956_GRCh38,IL4,4.554228624298582,IL4,GSE120084,RNASeq,SRP161956_GRCh38,,monocyte derived macrophage,IL4,,activating,,1.0,IL4,,,,,,
IL4@Condition:monocyte-derived dendritic cell@E-MEXP-2000.MicroArray.HG-U133A,IL4,0.8173837992450962,IL4,E-MEXP-2000,MicroArray,HG-U133A,,monocyte-derived dendritic cell,IL4,,activating,,1.0,IL4,,,,,,
IL4@Condition:Monocyte&Duration:18h@GSE36537.MicroArray.GPL6480,IL4,0.380166158301651,IL4,GSE36537,MicroArray,GPL6480,,Monocyte,IL4,,activating,18h,1.0,IL4,18.0,18.0,18.0,18.0,18.0,18.0
IL4@Condition:Monocyte&Duration:24h@GSE47538.MicroArray.GPL13497,IL4,0.3677101687010135,IL4,GSE47538,MicroArray,GPL13497,,Monocyte,IL4,,activating,24h,1.0,IL4,24.0,24.0,24.0,24.0,24.0,24.0
IL4@Condition:Monocyte&Duration:6h@GSE36537.MicroArray.GPL6480,IL4,4.253366351820837,IL4,GSE36537,MicroArray,GPL6480,,Monocyte,IL4,,activating,6h,1.0,IL4,6.0,6.0,6.0,6.0,6.0,6.0
IL4@Condition:Monocyte&Duration:6h@GSE47538.MicroArray.GPL13497,IL4,2.3516283853823605,IL4,GSE47538,MicroArray,GPL13497,,Monocyte,IL4,,activating,6h,1.0,IL4,6.0,6.0,6.0,6.0,6.0,6.0
IL4@Condition:Monocytes@GSE83957.MicroArray.GPL10558,IL4,2.652472978293245,IL4,GSE83957,MicroArray,GPL10558,,Monocytes,IL4,,activating,,1.0,IL4,,,,,,
IL4@Condition:Normal lung fibroblast&Duration:24h@GSE47538.MicroArray.GPL13497,IL4,1.4765612849764596,IL4,GSE47538,MicroArray,GPL13497,,Normal lung fibroblast,IL4,,activating,24h,1.0,IL4,24.0,24.0,24.0,24.0,24.0,24.0
IL4@Condition:primary bronchial epithelial cells&Duration:12h@GSE78914.MicroArray.HG-U133_Plus_2,IL4,3.113517405844177,IL4,GSE78914,MicroArray,HG-U133_Plus_2,,primary bronchial epithelial cells,IL4,,activating,12h,1.0,IL4,12.0,12.0,12.0,12.0,12.0,12.0
IL4@Condition:primary bronchial epithelial cells&Duration:24h@GSE78914.MicroArray.HG-U133_Plus_2,IL4,3.1886620423522585,IL4,GSE78914,MicroArray,HG-U133_Plus_2,,primary bronchial epithelial cells,IL4,,activating,24h,1.0,IL4,24.0,24.0,24.0,24.0,24.0,24.0
IL4@Condition:primary bronchial epithelial cells&Duration:6h@GSE78914.MicroArray.HG-U133_Plus_2,IL4,4.555760929083813,IL4,GSE78914,MicroArray,HG-U133_Plus_2,,primary bronchial epithelial cells,IL4,,activating,6h,1.0,IL4,6.0,6.0,6.0,6.0,6.0,6.0
IL4@Condition:primary bronchial epithelial cells&Duration:72h@GSE78914.MicroArray.HG-U133_Plus_2,IL4,2.777300336885617,IL4,GSE78914,MicroArray,HG-U133_Plus_2,,primary bronchial epithelial cells,IL4,,activating,72h,1.0,IL4,72.0,72.0,72.0,72.0,72.0,72.0
IL6@Condition:BT-483&Duration:4d@GSE54329.MicroArray.HG-U219,IL6,-0.0718591793280083,IL6,GSE54329,MicroArray,HG-U219,,BT-483,IL6,,activating,4d,1.0,IL6,96.0,96.0,96.0,96.0,96.0,96.0
IL6@Condition:BT-483&Duration:5d@GSE54329.MicroArray.HG-U219,IL6,-1.1492419048799836,IL6,GSE54329,MicroArray,HG-U219,,BT-483,IL6,,activating,5d,1.0,IL6,120.0,120.0,120.0,120.0,120.0,120.0
IL6@Condition:BT-483&Duration:6d@GSE54329.MicroArray.HG-U219,IL6,-1.099028499094598,IL6,GSE54329,MicroArray,HG-U219,,BT-483,IL6,,activating,6d,1.0,IL6,144.0,144.0,144.0,144.0,144.0,144.0
IL6@Condition:BT474&Duration:4d@GSE54329.MicroArray.HG-U219,IL6,-0.8219317682532403,IL6,GSE54329,MicroArray,HG-U219,,BT474,IL6,,activating,4d,1.0,IL6,96.0,96.0,96.0,96.0,96.0,96.0
IL6@Condition:BT474&Duration:5d@GSE54329.MicroArray.HG-U219,IL6,-0.846826969402572,IL6,GSE54329,MicroArray,HG-U219,,BT474,IL6,,activating,5d,1.0,IL6,120.0,120.0,120.0,120.0,120.0,120.0
IL6@Condition:BT474&Duration:6d@GSE54329.MicroArray.HG-U219,IL6,-1.0946412034834798,IL6,GSE54329,MicroArray,HG-U219,,BT474,IL6,,activating,6d,1.0,IL6,144.0,144.0,144.0,144.0,144.0,144.0
IL6@Condition:EFM-19&Duration:4d@GSE54329.MicroArray.HG-U219,IL6,-0.8169906817723056,IL6,GSE54329,MicroArray,HG-U219,,EFM-19,IL6,,activating,4d,1.0,IL6,96.0,96.0,96.0,96.0,96.0,96.0
IL6@Condition:EFM-19&Duration:5d@GSE54329.MicroArray.HG-U219,IL6,0.1716852201017935,IL6,GSE54329,MicroArray,HG-U219,,EFM-19,IL6,,activating,5d,1.0,IL6,120.0,120.0,120.0,120.0,120.0,120.0
IL6@Condition:EFM-19&Duration:6d@GSE54329.MicroArray.HG-U219,IL6,-0.8280497662412175,IL6,GSE54329,MicroArray,HG-U219,,EFM-19,IL6,,activating,6d,1.0,IL6,144.0,144.0,144.0,144.0,144.0,144.0
IL6@Condition:HCC1428&Duration:4d@GSE54329.MicroArray.HG-U219,IL6,-1.0736586843792544,IL6,GSE54329,MicroArray,HG-U219,,HCC1428,IL6,,activating,4d,1.0,IL6,96.0,96.0,96.0,96.0,96.0,96.0
IL6@Condition:HCC1428&Duration:5d@GSE54329.MicroArray.HG-U219,IL6,-1.060665094028654,IL6,GSE54329,MicroArray,HG-U219,,HCC1428,IL6,,activating,5d,1.0,IL6,120.0,120.0,120.0,120.0,120.0,120.0
IL6@Condition:HCC1428&Duration:6d@GSE54329.MicroArray.HG-U219,IL6,-0.4488799154368803,IL6,GSE54329,MicroArray,HG-U219,,HCC1428,IL6,,activating,6d,1.0,IL6,144.0,144.0,144.0,144.0,144.0,144.0
IL6@Condition:Hep3B@E-MTAB-4570.MicroArray.HTA-2_0,IL6,-0.7264807919370125,IL6,E-MTAB-4570,MicroArray,HTA-2_0,,Hep3B,IL6,,activating,,1.0,IL6,,,,,,
IL6@Condition:HepG2@E-MTAB-4570.MicroArray.HTA-2_0,IL6,-0.7793643336779142,IL6,E-MTAB-4570,MicroArray,HTA-2_0,,HepG2,IL6,,activating,,1.0,IL6,,,,,,
IL6@Condition:HMEC1@GSE19082.MicroArray.GPL6104,IL6,-0.7942583728901446,IL6,GSE19082,MicroArray,GPL6104,,HMEC1,IL6,,activating,,1.0,IL6,,,,,,
IL6@Condition:HuH-7@E-MTAB-4570.MicroArray.HTA-2_0,IL6,-0.6938571694086708,IL6,E-MTAB-4570,MicroArray,HTA-2_0,,HuH-7,IL6,,activating,,1.0,IL6,,,,,,
IL6@Condition:human epidermal keratinocytes&Duration:24h@GSE53751.MicroArray.HG-U133_Plus_2,IL6,-1.571027950408648,IL6,GSE53751,MicroArray,HG-U133_Plus_2,,human epidermal keratinocytes,IL6,,activating,24h,1.0,IL6,24.0,24.0,24.0,24.0,24.0,24.0
IL6@Condition:Macrophage@GSE123603.RNASeq.SRP173264_GRCh38,IL6,-0.7826361745666207,IL6,GSE123603,RNASeq,SRP173264_GRCh38,,Macrophage,IL6,,activating,,1.0,IL6,,,,,,
IL6@Condition:Macrophage@GSE8515.MicroArray.HG-U133A,IL6,-0.1375455997160413,IL6,GSE8515,MicroArray,HG-U133A,,Macrophage,IL6,,activating,,1.0,IL6,,,,,,
IL6@Condition:MCF-7&Duration:4d@GSE54329.MicroArray.HG-U219,IL6,0.0809873757868389,IL6,GSE54329,MicroArray,HG-U219,,MCF-7,IL6,,activating,4d,1.0,IL6,96.0,96.0,96.0,96.0,96.0,96.0
IL6@Condition:MCF-7&Duration:5d@GSE54329.MicroArray.HG-U219,IL6,-0.0552588579686392,IL6,GSE54329,MicroArray,HG-U219,,MCF-7,IL6,,activating,5d,1.0,IL6,120.0,120.0,120.0,120.0,120.0,120.0
IL6@Condition:MCF-7&Duration:6d@GSE54329.MicroArray.HG-U219,IL6,-0.5402037997268012,IL6,GSE54329,MicroArray,HG-U219,,MCF-7,IL6,,activating,6d,1.0,IL6,144.0,144.0,144.0,144.0,144.0,144.0
IL6@Condition:MDA-MB-134VI&Duration:4d@GSE54329.MicroArray.HG-U219,IL6,-0.4800011384562929,IL6,GSE54329,MicroArray,HG-U219,,MDA-MB-134VI,IL6,,activating,4d,1.0,IL6,96.0,96.0,96.0,96.0,96.0,96.0
IL6@Condition:MDA-MB-134VI&Duration:5d@GSE54329.MicroArray.HG-U219,IL6,0.408418296650929,IL6,GSE54329,MicroArray,HG-U219,,MDA-MB-134VI,IL6,,activating,5d,1.0,IL6,120.0,120.0,120.0,120.0,120.0,120.0
IL6@Condition:MDA-MB-134VI&Duration:6d@GSE54329.MicroArray.HG-U219,IL6,-1.000945630962123,IL6,GSE54329,MicroArray,HG-U219,,MDA-MB-134VI,IL6,,activating,6d,1.0,IL6,144.0,144.0,144.0,144.0,144.0,144.0
IL6@Condition:MDA-MB-175-VIIdsRed&Duration:4d@GSE54329.MicroArray.HG-U219,IL6,-1.4063376487490018,IL6,GSE54329,MicroArray,HG-U219,,MDA-MB-175-VIIdsRed,IL6,,activating,4d,1.0,IL6,96.0,96.0,96.0,96.0,96.0,96.0
IL6@Condition:MDA-MB-175-VIIdsRed&Duration:5d@GSE54329.MicroArray.HG-U219,IL6,-1.0588939779275208,IL6,GSE54329,MicroArray,HG-U219,,MDA-MB-175-VIIdsRed,IL6,,activating,5d,1.0,IL6,120.0,120.0,120.0,120.0,120.0,120.0
IL6@Condition:MDA-MB-175-VIIdsRed&Duration:6d@GSE54329.MicroArray.HG-U219,IL6,-1.263540169726458,IL6,GSE54329,MicroArray,HG-U219,,MDA-MB-175-VIIdsRed,IL6,,activating,6d,1.0,IL6,144.0,144.0,144.0,144.0,144.0,144.0
IL6@Condition:MDA-MB-415&Duration:4d@GSE54329.MicroArray.HG-U219,IL6,-0.827065073614241,IL6,GSE54329,MicroArray,HG-U219,,MDA-MB-415,IL6,,activating,4d,1.0,IL6,96.0,96.0,96.0,96.0,96.0,96.0
IL6@Condition:MDA-MB-415&Duration:5d@GSE54329.MicroArray.HG-U219,IL6,-0.7972671772976907,IL6,GSE54329,MicroArray,HG-U219,,MDA-MB-415,IL6,,activating,5d,1.0,IL6,120.0,120.0,120.0,120.0,120.0,120.0
IL6@Condition:MDA-MB-415&Duration:6d@GSE54329.MicroArray.HG-U219,IL6,-0.9742883322521996,IL6,GSE54329,MicroArray,HG-U219,,MDA-MB-415,IL6,,activating,6d,1.0,IL6,144.0,144.0,144.0,144.0,144.0,144.0
IL6@Condition:Myeloma.CMA03@GSE39685.MicroArray.HuGene-1_0-st-v1,IL6,-0.0938802538885439,IL6,GSE39685,MicroArray,HuGene-1_0-st-v1,,Myeloma.CMA03,IL6,,activating,,1.0,IL6,,,,,,
IL6@Condition:Prostate Fibroblast@GSE68164.MicroArray.GPL10558,IL6,0.2474995244320833,IL6,GSE68164,MicroArray,GPL10558,,Prostate Fibroblast,IL6,,activating,,1.0,IL6,,,,,,
IL6@Condition:T47D&Duration:4d@GSE54329.MicroArray.HG-U219,IL6,-0.3716727509914444,IL6,GSE54329,MicroArray,HG-U219,,T47D,IL6,,activating,4d,1.0,IL6,96.0,96.0,96.0,96.0,96.0,96.0
IL6@Condition:T47D&Duration:5d@GSE54329.MicroArray.HG-U219,IL6,-1.2603269302697164,IL6,GSE54329,MicroArray,HG-U219,,T47D,IL6,,activating,5d,1.0,IL6,120.0,120.0,120.0,120.0,120.0,120.0
IL6@Condition:T47D&Duration:6d@GSE54329.MicroArray.HG-U219,IL6,-1.338360757589716,IL6,GSE54329,MicroArray,HG-U219,,T47D,IL6,,activating,6d,1.0,IL6,144.0,144.0,144.0,144.0,144.0,144.0
IL6@Condition:ZR-751&Duration:4d@GSE54329.MicroArray.HG-U219,IL6,-0.3110010732386576,IL6,GSE54329,MicroArray,HG-U219,,ZR-751,IL6,,activating,4d,1.0,IL6,96.0,96.0,96.0,96.0,96.0,96.0
IL6@Condition:ZR-751&Duration:5d@GSE54329.MicroArray.HG-U219,IL6,-0.6947951527145524,IL6,GSE54329,MicroArray,HG-U219,,ZR-751,IL6,,activating,5d,1.0,IL6,120.0,120.0,120.0,120.0,120.0,120.0
IL6@Condition:ZR-751&Duration:6d@GSE54329.MicroArray.HG-U219,IL6,-0.0897022354110186,IL6,GSE54329,MicroArray,HG-U219,,ZR-751,IL6,,activating,6d,1.0,IL6,144.0,144.0,144.0,144.0,144.0,144.0
IL7@Condition:CD19+ B cells@E-MEXP-2878.MicroArray.HG-U133_Plus_2,IL7,0.3273543752965657,IL7,E-MEXP-2878,MicroArray,HG-U133_Plus_2,,CD19+ B cells,IL7,,activating,,1.0,IL7,,,,,,
IL7@Condition:CD4+ T cells&Duration:6h@GSE96888.MicroArray.GPL17077,IL7,4.260837416533907,IL7,GSE96888,MicroArray,GPL17077,,CD4+ T cells,IL7,,activating,6h,1.0,IL7,6.0,6.0,6.0,6.0,6.0,6.0
INS@Condition:endometrial carcinoma@GSE109022.MicroArray.GPL17692,INS,,INS,GSE109022,MicroArray,GPL17692,,endometrial carcinoma,INS,,activating,,1.0,INS,,,,,,
INS@Condition:hESC&Duration:12h@GSE71949.MicroArray.HG-U133_Plus_2,INS,0.0317272721863169,INS,GSE71949,MicroArray,HG-U133_Plus_2,,hESC,INS,,activating,12h,1.0,INS,12.0,12.0,12.0,12.0,12.0,12.0
LIF@Condition:Female hiPSC@GSE44044.MicroArray.GPL14550,LIF,1.6496698775139886,LIF,GSE44044,MicroArray,GPL14550,,Female hiPSC,LIF,,activating,,1.0,LIF,,,,,,
LIF@Condition:Female hiPSC@GSE44044.MicroArray.GPL6480,LIF,-0.9980092631862926,LIF,GSE44044,MicroArray,GPL6480,,Female hiPSC,LIF,,activating,,1.0,LIF,,,,,,
LTA@Condition:Whole Blood.healthy adult&Duration:6h@GSE103500.MicroArray.GPL10558,LTA,-0.1271512789903765,LTA,GSE103500,MicroArray,GPL10558,,Whole Blood.healthy adult,LTA,,activating,6h,1.0,LTA,6.0,6.0,6.0,6.0,6.0,6.0
LTB@Condition:Caco-2@GSE1474.MicroArray.GPL96,LTB,2.6229133788040144,LTB,GSE1474,MicroArray,GPL96,,Caco-2,LTB,,activating,,1.0,LTB,,,,,,
LTB@Condition:T84@GSE1474.MicroArray.GPL96,LTB,0.6462230484240985,LTB,GSE1474,MicroArray,GPL96,,T84,LTB,,activating,,1.0,LTB,,,,,,
MCSF@Condition:CD34 positive hemapoietic stem cells@GSE107006.RNASeq.SRP125117_GRCh38,CSF1,0.4412703698427123,CSF1,GSE107006,RNASeq,SRP125117_GRCh38,,CD34 positive hemapoietic stem cells,CSF1,,activating,,1.0,MCSF,,,,,,
MCSF@Condition:Macrophage@GSE49240.MicroArray.GPL10558,CSF1,0.74038926893243,CSF1,GSE49240,MicroArray,GPL10558,,Macrophage,CSF1,,activating,,1.0,MCSF,,,,,,
MCSF@Condition:Monocyte@GSE123270.MicroArray.GPL10558,CSF1,-0.1562970190194516,CSF1,GSE123270,MicroArray,GPL10558,,Monocyte,CSF1,,activating,,1.0,MCSF,,,,,,
MCSF@Condition:Monocyte@GSE123573.RNASeq.SRP173248_GRCh38,CSF1,-0.9192204428844118,CSF1,GSE123573,RNASeq,SRP173248_GRCh38,,Monocyte,CSF1,,activating,,1.0,MCSF,,,,,,
MCSF@Condition:monocyte@GSE37356.MicroArray.GPL10558,CSF1,-0.2574891522309065,CSF1,GSE37356,MicroArray,GPL10558,,monocyte,CSF1,,activating,,1.0,MCSF,,,,,,
MCSF@Condition:Monocyte@GSE9801.MicroArray.HG-U133_Plus_2,CSF1,-0.7993818872081764,CSF1,GSE9801,MicroArray,HG-U133_Plus_2,,Monocyte,CSF1,,activating,,1.0,MCSF,,,,,,
MCSF@Condition:Monocyte@GSE9801.MicroArray.HG-U133A,CSF1,-1.5261460127782938,CSF1,GSE9801,MicroArray,HG-U133A,,Monocyte,CSF1,,activating,,1.0,MCSF,,,,,,
MCSF@Condition:Whole Blood&Duration:24h@GSE136440.MicroArray.HT_HG-U133_Plus_PM,CSF1,-0.3963245561890492,CSF1,GSE136440,MicroArray,HT_HG-U133_Plus_PM,,Whole Blood,CSF1,,activating,24h,1.0,MCSF,24.0,24.0,24.0,24.0,24.0,24.0
MCSF@Condition:Whole Blood&Duration:4h@GSE136440.MicroArray.HT_HG-U133_Plus_PM,CSF1,0.1055378783992742,CSF1,GSE136440,MicroArray,HT_HG-U133_Plus_PM,,Whole Blood,CSF1,,activating,4h,1.0,MCSF,4.0,4.0,4.0,4.0,4.0,4.0
NO@Condition:Prostate Cancer PC3@GSE34112.MicroArray.HG-U133_Plus_2,Metab__HMDB0003378_c,2.299571177897256,Metab__HMDB0003378_c,GSE34112,MicroArray,HG-U133_Plus_2,,Prostate Cancer PC3,Metab__HMDB0003378_c,,activating,,1.0,NO,,,,,,
NO@Condition:TNBC MB231@GSE66322.MicroArray.PrimeView,Metab__HMDB0003378_c,1.530324529049562,Metab__HMDB0003378_c,GSE66322,MicroArray,PrimeView,,TNBC MB231,Metab__HMDB0003378_c,,activating,,1.0,NO,,,,,,
NTF4@Condition:embryonic stem cell&Duration:0.5h@E-MTAB-6975.RNASeq.ERP109789_GRCh38,NTF4,0.8289568808667419,NTF4,E-MTAB-6975,RNASeq,ERP109789_GRCh38,,embryonic stem cell,NTF4,,activating,0.5h,1.0,NTF4,0.5,0.5,0.5,0.5,0.5,0.5
NTF4@Condition:embryonic stem cell&Duration:12.0h@E-MTAB-6975.RNASeq.ERP109789_GRCh38,NTF4,-0.447325028474791,NTF4,E-MTAB-6975,RNASeq,ERP109789_GRCh38,,embryonic stem cell,NTF4,,activating,12.0h,1.0,NTF4,12.0,12.0,12.0,12.0,12.0,12.0
NTF4@Condition:embryonic stem cell&Duration:2.0h@E-MTAB-6975.RNASeq.ERP109789_GRCh38,NTF4,-0.628141269930237,NTF4,E-MTAB-6975,RNASeq,ERP109789_GRCh38,,embryonic stem cell,NTF4,,activating,2.0h,1.0,NTF4,2.0,2.0,2.0,2.0,2.0,2.0
NTF4@Condition:embryonic stem cell&Duration:24.0h@E-MTAB-6975.RNASeq.ERP109789_GRCh38,NTF4,-0.4871698670254788,NTF4,E-MTAB-6975,RNASeq,ERP109789_GRCh38,,embryonic stem cell,NTF4,,activating,24.0h,1.0,NTF4,24.0,24.0,24.0,24.0,24.0,24.0
OPGL@Condition:Macrophage&Duration:24h@GSE99987.RNASeq.SRP109107_GRCh38,TNFSF11,,TNFSF11,GSE99987,RNASeq,SRP109107_GRCh38,,Macrophage,TNFSF11,,activating,24h,1.0,OPGL,24.0,24.0,24.0,24.0,24.0,24.0
OPGL@Condition:Macrophage&Duration:48h@GSE99987.RNASeq.SRP109107_GRCh38,TNFSF11,,TNFSF11,GSE99987,RNASeq,SRP109107_GRCh38,,Macrophage,TNFSF11,,activating,48h,1.0,OPGL,48.0,48.0,48.0,48.0,48.0,48.0
OPGL@Condition:Vascular Smooth Muscle Cell.RANKL@GSE29955.MicroArray.HG-U133A_2,TNFSF11,0.2879461118101412,TNFSF11,GSE29955,MicroArray,HG-U133A_2,,Vascular Smooth Muscle Cell.RANKL,TNFSF11,,activating,,1.0,OPGL,,,,,,
OSM@Condition:HAVICs&Duration:3 days@GSE101155.MicroArray.GPL10904,OSM,-1.1197486373790335,OSM,GSE101155,MicroArray,GPL10904,,HAVICs,OSM,,activating,3 days,1.0,OSM,,,,,,
OSM@Condition:HCT116@GSE53295.MicroArray.GPL6480,OSM,-3.9422692916942106,OSM,GSE53295,MicroArray,GPL6480,,HCT116,OSM,,activating,,1.0,OSM,,,,,,
OSM@Condition:HepG2@E-MTAB-4570.MicroArray.HTA-2_0,OSM,-2.743719656178002,OSM,E-MTAB-4570,MicroArray,HTA-2_0,,HepG2,OSM,,activating,,1.0,OSM,,,,,,
OSM@Condition:HuH-7@E-MTAB-4570.MicroArray.HTA-2_0,OSM,-4.351182546034914,OSM,E-MTAB-4570,MicroArray,HTA-2_0,,HuH-7,OSM,,activating,,1.0,OSM,,,,,,
OSM@Condition:Huh7@GSE13046.MicroArray.HG-U133A_2,OSM,-4.11538619498309,OSM,GSE13046,MicroArray,HG-U133A_2,,Huh7,OSM,,activating,,1.0,OSM,,,,,,
PDGFC@Condition:mammary fibroblast.CAF2&Duration:48h@GSE108835.MicroArray.HuGene-2_0-st,PDGFC,0.5659628945748405,PDGFC,GSE108835,MicroArray,HuGene-2_0-st,,mammary fibroblast.CAF2,PDGFC,,activating,48h,1.0,PDGFC,48.0,48.0,48.0,48.0,48.0,48.0
PDGFC@Condition:mammary fibroblast.CAF2&Duration:6h@GSE108835.MicroArray.HuGene-2_0-st,PDGFC,1.3706086056314113,PDGFC,GSE108835,MicroArray,HuGene-2_0-st,,mammary fibroblast.CAF2,PDGFC,,activating,6h,1.0,PDGFC,6.0,6.0,6.0,6.0,6.0,6.0
PDGFD@Condition:ILC1@GSE107043.MicroArray.HuGene-1_0-st-v1,PDGFD,3.257438489460097,PDGFD,GSE107043,MicroArray,HuGene-1_0-st-v1,,ILC1,PDGFD,,activating,,1.0,PDGFD,,,,,,
PDGFD@Condition:primary NK cells@GSE107047.RNASeq.SRP125179_GRCh38,PDGFD,0.2492215969388926,PDGFD,GSE107047,RNASeq,SRP125179_GRCh38,,primary NK cells,PDGFD,,activating,,1.0,PDGFD,,,,,,
TGFA@Condition:human keratinocytes&Duration:120min@GSE8531.MicroArray.HG-U133A_2,TGFA,1.4399827871557649,TGFA,GSE8531,MicroArray,HG-U133A_2,,human keratinocytes,TGFA,,activating,120min,1.0,TGFA,,,,2.0,2.0,2.0
TGFA@Condition:human keratinocytes&Duration:30min@GSE8531.MicroArray.HG-U133A_2,TGFA,0.7453930082351031,TGFA,GSE8531,MicroArray,HG-U133A_2,,human keratinocytes,TGFA,,activating,30min,1.0,TGFA,,,,0.5,0.5,0.5
TGFA@Condition:human keratinocytes&Duration:60min@GSE8531.MicroArray.HG-U133A_2,TGFA,1.275047521383525,TGFA,GSE8531,MicroArray,HG-U133A_2,,human keratinocytes,TGFA,,activating,60min,1.0,TGFA,,,,1.0,1.0,1.0
TGFB1@Condition:A2780 cell line@GSE27526.MicroArray.HG-U133_Plus_2,TGFB1,-0.6719435234328088,TGFB1,GSE27526,MicroArray,HG-U133_Plus_2,,A2780 cell line,TGFB1,,activating,,1.0,TGFB1,,,,,,
